"filename", "language", "YAML", "TypeScript", "TypeScript JSX", "JSON with Comments", "JSON", "XML", "JavaScript", "PostCSS", "Markdown", "MS SQL", "comment", "blank", "total"
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/investigation/regression/regression-detector.ts", "TypeScript", 0, 262, 0, 0, 0, 0, 0, 0, 0, 0, 11, 28, 301
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/investigation/run.ts", "TypeScript", 0, 442, 0, 0, 0, 0, 0, 0, 0, 0, 151, 48, 641
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/investigation/runtime/ast-resolver.ts", "TypeScript", 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 39, 36, 272
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/investigation/runtime/call-chain.ts", "TypeScript", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 35, 22, 172
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/investigation/runtime/context-collector.ts", "TypeScript", 0, 397, 0, 0, 0, 0, 0, 0, 0, 0, 48, 56, 501
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/investigation/runtime/github-source-provider.ts", "TypeScript", 0, 215, 0, 0, 0, 0, 0, 0, 0, 0, 48, 40, 303
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/investigation/runtime/github-source-utils.ts", "TypeScript", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 13, 20, 134
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/investigation/runtime/reconstruction-engine.ts", "TypeScript", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 32, 21, 175
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/investigation/runtime/redaction.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 21, 17, 98
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/investigation/runtime/source-resolver.ts", "TypeScript", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 49, 23, 190
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/investigation/runtime/stack-parser.ts", "TypeScript", 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 56, 38, 274
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/investigation/runtime/telemetry-gaps.ts", "TypeScript", 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 24, 11, 156
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/investigation/runtime/types.ts", "TypeScript", 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 43, 17, 212
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/issues/__tests__/issue-intelligence.test.ts", "TypeScript", 0, 363, 0, 0, 0, 0, 0, 0, 0, 0, 71, 65, 499
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/issues/activity-calculator.ts", "TypeScript", 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 15, 24, 216
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/issues/issue-intelligence.ts", "TypeScript", 0, 1427, 0, 0, 0, 0, 0, 0, 0, 0, 56, 166, 1649
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/monitors/__tests__/acceptance-audit.ts", "TypeScript", 0, 231, 0, 0, 0, 0, 0, 0, 0, 0, 33, 36, 300
