"filename", "language", "JavaScript", "JSON", "YAML", "TypeScript", "JSON with Comments", "TypeScript JSX", "XML", "PostCSS", "Markdown", "MS SQL", "comment", "blank", "total"
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/impact.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/investigation.ts", "TypeScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 21, 80
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/reason.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 7, 20
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/recommendation.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 7, 20
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/rule-result.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/telemetry.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/template.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/types/timeline.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/test/engine.test.ts", "TypeScript", 0, 0, 0, 3273, 0, 0, 0, 0, 0, 0, 0, 397, 3670
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/test/investigation.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 28, 81
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 24
"/Users/nssanjeev/Development/Halo/packages/replay/dist/index.cjs", "JavaScript", 357, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 374
"/Users/nssanjeev/Development/Halo/packages/replay/dist/index.d.cts", "TypeScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 60, 4, 133
"/Users/nssanjeev/Development/Halo/packages/replay/dist/index.d.ts", "TypeScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 60, 4, 133
"/Users/nssanjeev/Development/Halo/packages/replay/dist/index.js", "JavaScript", 334, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 347
"/Users/nssanjeev/Development/Halo/packages/replay/package.json", "JSON", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"/Users/nssanjeev/Development/Halo/packages/replay/src/index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/nssanjeev/Development/Halo/packages/replay/src/masker.ts", "TypeScript", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 11, 101
"/Users/nssanjeev/Development/Halo/packages/replay/src/recorder.ts", "TypeScript", 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 12, 24, 174
"/Users/nssanjeev/Development/Halo/packages/replay/src/ring-buffer.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 3, 11, 57
"/Users/nssanjeev/Development/Halo/packages/replay/src/types.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 57, 4, 102
"/Users/nssanjeev/Development/Halo/packages/replay/src/uploader.ts", "TypeScript", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 1, 15, 112
"/Users/nssanjeev/Development/Halo/packages/replay/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/nssanjeev/Development/Halo/packages/replay/tsup.config.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/nssanjeev/Development/Halo/packages/sdk/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 272, 0, 0, 107, 379
"/Users/nssanjeev/Development/Halo/packages/sdk/dist/index.cjs", "JavaScript", 608, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 7, 631
"/Users/nssanjeev/Development/Halo/packages/sdk/dist/index.d.cts", "TypeScript", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 30, 3, 119
"/Users/nssanjeev/Development/Halo/packages/sdk/dist/index.d.ts", "TypeScript", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 30, 3, 119
"/Users/nssanjeev/Development/Halo/packages/sdk/dist/index.js", "JavaScript", 585, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 5, 604
"/Users/nssanjeev/Development/Halo/packages/sdk/package.json", "JSON", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46
"/Users/nssanjeev/Development/Halo/packages/sdk/src/capture.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 10, 8, 80
"/Users/nssanjeev/Development/Halo/packages/sdk/src/client.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 6, 40
"/Users/nssanjeev/Development/Halo/packages/sdk/src/halo.ts", "TypeScript", 0, 0, 0, 307, 0, 0, 0, 0, 0, 0, 17, 104, 428
"/Users/nssanjeev/Development/Halo/packages/sdk/src/http.ts", "TypeScript", 0, 0, 0, 386, 0, 0, 0, 0, 0, 0, 80, 87, 553
"/Users/nssanjeev/Development/Halo/packages/sdk/src/index.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/nssanjeev/Development/Halo/packages/sdk/src/queue.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 4, 13, 62
"/Users/nssanjeev/Development/Halo/packages/sdk/src/request-context.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 17, 75
"/Users/nssanjeev/Development/Halo/packages/sdk/src/types.ts", "TypeScript", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 30, 37, 132
"/Users/nssanjeev/Development/Halo/packages/sdk/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 14
"/Users/nssanjeev/Development/Halo/packages/sdk/tsup.config.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/nssanjeev/Development/Halo/pnpm-lock.yaml", "YAML", 0, 0, 6441, 0, 0, 0, 0, 0, 0, 0, 0, 1655, 8096
"/Users/nssanjeev/Development/Halo/pnpm-workspace.yaml", "YAML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/nssanjeev/Development/Halo/prisma.config.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 2, 15
"/Users/nssanjeev/Development/Halo/prisma/migrations/20260803080531_initial/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 28, 37, 178
"/Users/nssanjeev/Development/Halo/prisma/migrations/20260803085017_add_project_description/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
